Year,Month,Day,water_year,water_month,water_day,model,flow,rcp,month_name
2017,3,2,2017,6,153,HadGEM2-ES,98739.67,8.5,Mar
2017,3,7,2017,6,158,CanESM2,334570.82,8.5,Mar
2017,3,14,2017,6,165,CCSM4,193354.28,8.5,Mar
2017,4,6,2017,7,188,MIROC5,39065.84,8.5,Apr
2017,5,13,2017,8,225,HadGEM2-CC,70548.1,8.5,May
2017,12,4,2018,3,65,HadGEM2-ES,349343.49,8.5,Dec
2017,12,16,2018,3,77,MIROC5,125147.81,8.5,Dec
2018,1,7,2018,4,99,CNRM-CM5,319403.7,8.5,Jan
2018,1,15,2018,4,107,CMCC-CMS,118867.07,8.5,Jan
2018,2,28,2018,5,151,GFDL-CM3,261163.45,8.5,Feb
2018,3,3,2018,6,154,CCSM4,319469.6,8.5,Mar
2018,3,4,2018,6,155,CESM1-BGC,254001.77,8.5,Mar
2018,3,9,2018,6,160,CanESM2,301168.12,8.5,Mar
2018,4,3,2018,7,185,HadGEM2-CC,78705.31,8.5,Apr
2018,5,7,2018,8,219,ACCESS1-0,62874.54,8.5,May
2018,12,23,2019,3,84,ACCESS1-0,103837.54,8.5,Dec
2019,1,22,2019,4,114,HadGEM2-CC,251020.27,8.5,Jan
2019,2,4,2019,5,127,CanESM2,290523.15,8.5,Feb
2019,2,9,2019,5,132,CNRM-CM5,338735.37,8.5,Feb
2019,2,27,2019,5,150,CESM1-BGC,88230.49,8.5,Feb
2019,3,2,2019,6,153,HadGEM2-ES,38741.04,8.5,Mar
2019,3,4,2019,6,155,GFDL-CM3,40247.13,8.5,Mar
2019,3,26,2019,6,177,CCSM4,91420.43,8.5,Mar
2019,5,11,2019,8,223,MIROC5,40689.93,8.5,May
2019,5,12,2019,8,224,CMCC-CMS,85252.89,8.5,May
2020,12,28,2021,3,89,CanESM2,69208.41,8.5,Dec
2020,12,29,2021,3,90,HadGEM2-ES,49833.98,8.5,Dec
2021,1,30,2021,4,122,GFDL-CM3,54138,8.5,Jan
2021,2,2,2021,5,125,MIROC5,268799.87,8.5,Feb
2021,2,3,2021,5,126,CCSM4,110687.49,8.5,Feb
2021,2,19,2021,5,142,HadGEM2-CC,72851.26,8.5,Feb
2021,2,23,2021,5,146,CMCC-CMS,308850.3,8.5,Feb
2021,3,4,2021,6,155,CESM1-BGC,231991.3,8.5,Mar
2021,3,24,2021,6,175,ACCESS1-0,56762.37,8.5,Mar
2021,5,3,2021,8,215,CNRM-CM5,41223.07,8.5,May
2021,12,20,2022,3,81,CCSM4,274360.95,8.5,Dec
2022,1,13,2022,4,105,CESM1-BGC,54429.45,8.5,Jan
2022,1,23,2022,4,115,ACCESS1-0,112184.84,8.5,Jan
2022,2,2,2022,5,125,CMCC-CMS,471138.2,8.5,Feb
2022,2,6,2022,5,129,CNRM-CM5,263065.39,8.5,Feb
2022,2,23,2022,5,146,CanESM2,58877.44,8.5,Feb
2022,3,2,2022,6,153,HadGEM2-ES,66720.52,8.5,Mar
2022,3,2,2022,6,153,MIROC5,257116.84,8.5,Mar
2022,3,4,2022,6,155,HadGEM2-CC,84426.31,8.5,Mar
2022,4,4,2022,7,186,GFDL-CM3,84535.68,8.5,Apr
2023,1,11,2023,4,103,CESM1-BGC,205652.32,8.5,Jan
2023,1,12,2023,4,104,CCSM4,216717.22,8.5,Jan
2023,2,10,2023,5,133,HadGEM2-CC,377649.46,8.5,Feb
2023,2,11,2023,5,134,ACCESS1-0,215136.41,8.5,Feb
2023,2,21,2023,5,144,CNRM-CM5,164099.01,8.5,Feb
2023,3,4,2023,6,155,CMCC-CMS,225559.53,8.5,Mar
2023,3,29,2023,6,180,HadGEM2-ES,303610.77,8.5,Mar
2023,4,12,2023,7,194,MIROC5,154568.98,8.5,Apr
2023,5,7,2023,8,219,GFDL-CM3,89548.23,8.5,May
2023,9,28,2023,12,363,CanESM2,141490.87,8.5,Sep
2025,1,11,2025,4,103,CESM1-BGC,286892.12,8.5,Jan
2025,1,17,2025,4,109,CCSM4,185177.4,8.5,Jan
2025,1,21,2025,4,113,CNRM-CM5,233040.53,8.5,Jan
2025,1,25,2025,4,117,ACCESS1-0,238576.3,8.5,Jan
2025,2,3,2025,5,126,HadGEM2-CC,341236.67,8.5,Feb
2025,2,22,2025,5,145,HadGEM2-ES,311946.36,8.5,Feb
2025,3,4,2025,6,155,GFDL-CM3,47909.37,8.5,Mar
2025,3,24,2025,6,175,MIROC5,30538.4,8.5,Mar
2025,4,3,2025,7,185,CMCC-CMS,82830.74,8.5,Apr
2025,4,10,2025,7,192,CanESM2,61576.81,8.5,Apr
2026,2,9,2026,5,132,CNRM-CM5,314661.99,8.5,Feb
2026,2,13,2026,5,136,CMCC-CMS,239624.82,8.5,Feb
2026,2,14,2026,5,137,HadGEM2-ES,71640.58,8.5,Feb
2026,2,17,2026,5,140,HadGEM2-CC,116053.92,8.5,Feb
2026,3,2,2026,6,153,GFDL-CM3,208643.7,8.5,Mar
2026,3,3,2026,6,154,ACCESS1-0,163643.64,8.5,Mar
2026,3,3,2026,6,154,MIROC5,158063.24,8.5,Mar
2026,3,5,2026,6,156,CCSM4,274001.41,8.5,Mar
2026,3,26,2026,6,177,CanESM2,355642.62,8.5,Mar
2026,4,2,2026,7,184,CESM1-BGC,82095.85,8.5,Apr
2026,12,11,2027,3,72,CCSM4,268258.07,8.5,Dec
2026,12,31,2027,3,92,MIROC5,203177.23,8.5,Dec
2027,1,8,2027,4,100,GFDL-CM3,175124.16,8.5,Jan
2027,1,19,2027,4,111,HadGEM2-ES,139702.13,8.5,Jan
2027,1,29,2027,4,121,HadGEM2-CC,118667.95,8.5,Jan
2027,2,3,2027,5,126,CMCC-CMS,151769.62,8.5,Feb
2027,2,18,2027,5,141,CESM1-BGC,77198.05,8.5,Feb
2027,3,5,2027,6,156,ACCESS1-0,351744.6,8.5,Mar
2027,3,6,2027,6,157,CanESM2,283275.34,8.5,Mar
2027,4,2,2027,7,184,CNRM-CM5,99414.9,8.5,Apr
2028,10,12,2029,1,12,CMCC-CMS,51174.14,8.5,Oct
2028,12,26,2029,3,87,HadGEM2-ES,224715.95,8.5,Dec
2029,1,6,2029,4,98,MIROC5,206075.74,8.5,Jan
2029,1,19,2029,4,111,CESM1-BGC,365993.6,8.5,Jan
2029,2,3,2029,5,126,CNRM-CM5,358175.21,8.5,Feb
2029,2,4,2029,5,127,ACCESS1-0,174454.43,8.5,Feb
2029,2,17,2029,5,140,CanESM2,29234.39,8.5,Feb
2029,2,18,2029,5,141,GFDL-CM3,242394.59,8.5,Feb
2029,2,23,2029,5,146,CCSM4,192817,8.5,Feb
2029,3,18,2029,6,169,HadGEM2-CC,287729.54,8.5,Mar
2029,12,14,2030,3,75,MIROC5,168170.73,8.5,Dec
2029,12,21,2030,3,82,CESM1-BGC,320844.34,8.5,Dec
2030,1,5,2030,4,97,CanESM2,76725.71,8.5,Jan
2030,1,15,2030,4,107,CNRM-CM5,243273.74,8.5,Jan
2030,1,24,2030,4,116,CCSM4,78085.7,8.5,Jan
2030,2,4,2030,5,127,GFDL-CM3,292044.49,8.5,Feb
2030,2,10,2030,5,133,CMCC-CMS,199948.72,8.5,Feb
2030,2,14,2030,5,137,HadGEM2-CC,298588.34,8.5,Feb
2030,3,21,2030,6,172,ACCESS1-0,242162.53,8.5,Mar
2030,4,7,2030,7,189,HadGEM2-ES,305602.19,8.5,Apr
2030,11,28,2031,2,59,GFDL-CM3,242640.82,8.5,Nov
2031,1,14,2031,4,106,CNRM-CM5,360582.67,8.5,Jan
2031,1,27,2031,4,119,CMCC-CMS,56656.48,8.5,Jan
2031,2,2,2031,5,125,ACCESS1-0,202820.17,8.5,Feb
2031,2,12,2031,5,135,CCSM4,76397.41,8.5,Feb
2031,3,4,2031,6,155,MIROC5,159025.88,8.5,Mar
2031,3,6,2031,6,157,CESM1-BGC,250089.38,8.5,Mar
2031,3,17,2031,6,168,HadGEM2-CC,143385.03,8.5,Mar
2031,3,25,2031,6,176,CanESM2,192408.93,8.5,Mar
2031,5,3,2031,8,215,HadGEM2-ES,80363.61,8.5,May
2032,11,24,2033,2,55,CNRM-CM5,248593.3,8.5,Nov
2033,1,3,2033,4,95,HadGEM2-ES,118009.62,8.5,Jan
2033,1,27,2033,4,119,CanESM2,448736.27,8.5,Jan
2033,1,30,2033,4,122,CESM1-BGC,188548.09,8.5,Jan
2033,3,3,2033,6,154,CMCC-CMS,242989.63,8.5,Mar
2033,3,4,2033,6,155,HadGEM2-CC,310274.11,8.5,Mar
2033,3,6,2033,6,157,ACCESS1-0,145147.86,8.5,Mar
2033,3,14,2033,6,165,GFDL-CM3,59157.57,8.5,Mar
2033,3,17,2033,6,168,CCSM4,97183.23,8.5,Mar
2033,4,3,2033,7,185,MIROC5,131506.62,8.5,Apr
2034,1,1,2034,4,93,CCSM4,293289.52,8.5,Jan
2034,1,5,2034,4,97,GFDL-CM3,38077.32,8.5,Jan
2034,1,15,2034,4,107,CESM1-BGC,509612.87,8.5,Jan
2034,1,19,2034,4,111,CMCC-CMS,218995.36,8.5,Jan
2034,1,21,2034,4,113,CanESM2,48422.02,8.5,Jan
2034,1,25,2034,4,117,ACCESS1-0,271253.89,8.5,Jan
2034,1,30,2034,4,122,HadGEM2-ES,136629.74,8.5,Jan
2034,3,5,2034,6,156,MIROC5,130360.7,8.5,Mar
2034,3,13,2034,6,164,CNRM-CM5,404115.67,8.5,Mar
2034,4,17,2034,7,199,HadGEM2-CC,122012.46,8.5,Apr
2034,12,21,2035,3,82,MIROC5,40810.53,8.5,Dec
2034,12,30,2035,3,91,CESM1-BGC,30143.31,8.5,Dec
2035,1,25,2035,4,117,HadGEM2-ES,345455.54,8.5,Jan
2035,1,26,2035,4,118,CCSM4,27815.3,8.5,Jan
2035,1,27,2035,4,119,CNRM-CM5,489632.3,8.5,Jan
2035,2,1,2035,5,124,CMCC-CMS,270203.62,8.5,Feb
2035,2,6,2035,5,129,ACCESS1-0,34328.63,8.5,Feb
2035,2,26,2035,5,149,CanESM2,27696.69,8.5,Feb
2035,3,29,2035,6,180,GFDL-CM3,233317.61,8.5,Mar
2035,4,8,2035,7,190,HadGEM2-CC,288849.23,8.5,Apr
2036,12,9,2037,3,70,CMCC-CMS,244846.22,8.5,Dec
2037,1,1,2037,4,93,CCSM4,267719.65,8.5,Jan
2037,1,9,2037,4,101,HadGEM2-ES,138069.53,8.5,Jan
2037,1,29,2037,4,121,CNRM-CM5,249159.03,8.5,Jan
2037,2,3,2037,5,126,GFDL-CM3,247767.43,8.5,Feb
2037,2,4,2037,5,127,CanESM2,49114.05,8.5,Feb
2037,2,18,2037,5,141,ACCESS1-0,285660.41,8.5,Feb
2037,2,18,2037,5,141,CESM1-BGC,167787.61,8.5,Feb
2037,2,23,2037,5,146,MIROC5,117811.31,8.5,Feb
2037,3,15,2037,6,166,HadGEM2-CC,92908.07,8.5,Mar
2037,12,1,2038,3,62,MIROC5,36554.74,8.5,Dec
2037,12,30,2038,3,91,CCSM4,255698.77,8.5,Dec
2038,1,14,2038,4,106,HadGEM2-CC,136606.54,8.5,Jan
2038,1,21,2038,4,113,CNRM-CM5,671284.31,8.5,Jan
2038,1,29,2038,4,121,CanESM2,387595.74,8.5,Jan
2038,2,3,2038,5,126,ACCESS1-0,214226.83,8.5,Feb
2038,2,6,2038,5,129,HadGEM2-ES,346258.95,8.5,Feb
2038,2,12,2038,5,135,CESM1-BGC,36020.57,8.5,Feb
2038,2,27,2038,5,150,CMCC-CMS,160101.63,8.5,Feb
2038,4,7,2038,7,189,GFDL-CM3,90187.64,8.5,Apr
2039,1,2,2039,4,94,CESM1-BGC,231962.55,8.5,Jan
2039,1,3,2039,4,95,MIROC5,276734.28,8.5,Jan
2039,1,4,2039,4,96,CNRM-CM5,457301.12,8.5,Jan
2039,1,19,2039,4,111,CanESM2,199920.71,8.5,Jan
2039,2,13,2039,5,136,GFDL-CM3,172679.26,8.5,Feb
2039,2,16,2039,5,139,HadGEM2-CC,140851.04,8.5,Feb
2039,2,18,2039,5,141,CCSM4,195566.35,8.5,Feb
2039,2,19,2039,5,142,ACCESS1-0,34668.76,8.5,Feb
2039,3,3,2039,6,154,HadGEM2-ES,284007.09,8.5,Mar
2039,3,22,2039,6,173,CMCC-CMS,95505.25,8.5,Mar
2040,12,5,2041,3,66,CCSM4,94021.16,8.5,Dec
2040,12,16,2041,3,77,CNRM-CM5,156893.63,8.5,Dec
2041,1,7,2041,4,99,HadGEM2-CC,121133.1,8.5,Jan
2041,1,18,2041,4,110,GFDL-CM3,546282.68,8.5,Jan
2041,1,27,2041,4,119,ACCESS1-0,261251.66,8.5,Jan
2041,1,29,2041,4,121,MIROC5,87895.35,8.5,Jan
2041,3,2,2041,6,153,CESM1-BGC,353313.53,8.5,Mar
2041,3,6,2041,6,157,CanESM2,228986.43,8.5,Mar
2041,3,8,2041,6,159,HadGEM2-ES,291180.65,8.5,Mar
2041,4,5,2041,7,187,CMCC-CMS,72704.41,8.5,Apr
2041,11,22,2042,2,53,CMCC-CMS,37831.12,8.5,Nov
2041,11,23,2042,2,54,ACCESS1-0,231685.45,8.5,Nov
2042,2,5,2042,5,128,CNRM-CM5,243988.85,8.5,Feb
2042,2,21,2042,5,144,CESM1-BGC,88588.27,8.5,Feb
2042,2,26,2042,5,149,CCSM4,217197.55,8.5,Feb
2042,2,26,2042,5,149,HadGEM2-ES,74923.89,8.5,Feb
2042,3,3,2042,6,154,HadGEM2-CC,316129.56,8.5,Mar
2042,3,15,2042,6,166,CanESM2,284143.05,8.5,Mar
2042,3,15,2042,6,166,MIROC5,127643.83,8.5,Mar
2042,4,2,2042,7,184,GFDL-CM3,166898.08,8.5,Apr
2042,12,8,2043,3,69,HadGEM2-ES,26105.78,8.5,Dec
2042,12,11,2043,3,72,CanESM2,104267.5,8.5,Dec
2043,1,3,2043,4,95,GFDL-CM3,147724.21,8.5,Jan
2043,1,18,2043,4,110,CCSM4,121502.49,8.5,Jan
2043,1,20,2043,4,112,CNRM-CM5,241864.66,8.5,Jan
2043,1,21,2043,4,113,MIROC5,113570.92,8.5,Jan
2043,2,9,2043,5,132,HadGEM2-CC,70826.64,8.5,Feb
2043,3,8,2043,6,159,CESM1-BGC,135438.01,8.5,Mar
2043,3,14,2043,6,165,CMCC-CMS,407562.12,8.5,Mar
2043,5,3,2043,8,215,ACCESS1-0,100158.97,8.5,May
